template page,Line Code,Category,Internal Description,Include,Unit Cost,Unit,Total Cost,Summed_Totals,Dimension,description (title),Calculations,Description (notes),Description (additional guidance),Description5
totals,dw_total#,Totals,demolition works total,Y,,,,,,£000.00,0,,,
totals,ew_total#,Totals,external wall total ,Y,,,,,,"£10,000.00",10000,,,
totals,er_total#,Totals,external roofing total,Y,,,,,,"£10,000.00",10000,,,
totals,fs_total#,Totals,floor structure total,Y,,,,,,"£5,000.00",5000,,,
totals,ps_total#,Totals,plastering total ,Y,,,,,,"£15,000.00",15000,,,
totals,id_total#,Totals,Internal doors total,Y,,,,,,"£5,500.00",5500,,,
totals,dr_total#,Totals,drainage total,Y,,,,,,"£3,000.00",3000,,,
totals,wp_total#,Totals,waste and parking total,Y,,,,,,"£2,000.00",2000,,,
totals,frc_total#,Totals,further requirements total,Y,,,,,,"£10,950.00",10950,,,
totals,el_total#,Totals,electrics total,Y,,,,,,"£4,310.00",4310,,,
totals,sl_total#,Totals,skylights total,N,,,,,,£0.00,0,,,
totals,vl_total#,Totals,velux total,Y,,,,,,"£1,350.00",1350,,,
totals,ac_total#,Totals,aluminium capping total,N,,,,,,£0.00,0,,,
totals,sd_total#,Totals,sliding doors total,Y,,,,,,"£9,120.00",9120,,,
totals,gv_total#,Totals,glass valley total,Y,,,,,,"£3,300.00",3300,,,
totals,saw_total#,Totals,sash windows total,N,,,,,,£0.00,0,,,
totals ,add_item_total,Totals,All non bw/schedule of works inclusions ,,,,,,,"£39,530.00",39530,,,
totals,sww_total#,Totals,Schedule of Works additional total,Y,,,,,,£000.00,0,,,
totals,tww_total#,Totals,Schedule of Works additional total,Y,,,,,,"£8,350.00",8350,,,
totals,combined_total2#@,Totals,total of combined_total plus tww_total,Y,,,,,,"£53,850.00",53850,,,
totals ,combined_total#@,Totals,"Total of bw, dw, ew, er, fs, ps totals",Y,,,,,,"£45,500.00",45500,,,
totals,initial_payment@,Totals,Initial payment (combined_total2 * 0.05) ,Y,,,,,,"£2,692.50",2692.5,,,
totals ,x payment@,Totals,combined total2 less initial payment divided by three,Y,,,,,,"£16,881.98","16,881.98",,,
totals ,com_meeting_payment@,Totals,x payment divided by 2,Y,,,,,,"£8,440.99","8,440.99",,,
totals ,third_payment@,Totals,x payment divided by 2,Y,,,,,,"£8,440.99","8,440.99",,,
totals ,remaining_balance@,Totals,combined total 2 less x payment,Y,,,,,,"£36,968.03","36,968.03",,,
totals ,other_payments@,Totals,remaining balance divided by 7 rounded to the nearest 1000,Y,,,,,,"£5,000.00","5,000.00",,,
totals ,tenth_payment@,Totals ,£750,Y,,,,,,£750.00,750.00,,,
totals ,final_payment@,Totals,combined total less all payments ,Y,,,,,,"£1,218.02","£1,218.02",,,
totals ,full_total,totals ,full total (bw total + additional sww + tww + add_items_total),Y,,,,,,"£93,380.00","£93,380.00",,,
totals ,fw_total,Totals,FInishing Works Total,Y,,,,,,"£15,235.00","£15,235.00",,,
price breakdowns,pb1*,price breakdowns,BUILDING WORKS,Y,,,,,,BUILDING WORKS,,,,
price breakdowns,pb1a*,price breakdowns,BUILDING WORKS (notes),Y,,,,,,*PAYABLE DIRECT TO THE FOREMAN AND THE COMPANY*,,,,
price breakdowns,pb2*,price breakdowns,SCHEDULING PAYMENT,Y,,,,,,SCHEDULING PAYMENT,,,,
price breakdowns,pb2a*,price breakdowns,SCHEDULING PAYMENT (notes),Y,,,,,,*PAYABLE DIRECT TO THE COMPANY*,,,,
price breakdowns,pb3*,price breakdowns,PRE-PROJECT PACKAGE ,Y,,,,,,PRE-PROJECT PACKAGE ,,,,
price breakdowns,pb3a*,price breakdowns,PRE-PROJECT PACKAGE (notes),Y,,,,,, *PAYABLE DIRECT TO THE COMPANY*,,,,
price breakdowns,pb4*,price breakdowns,ELECTRICS,Y,,,,,,ELECTRICS,,,,
price breakdowns,pb4a*,price breakdowns,ELECTRICS (notes),Y,,,,,,*PAYABLE DIRECT TO THE ELECTRICIAN* ,,,,
price breakdowns,pb5*,price breakdowns,PLUMBING,Y,,,,,,PLUMBING ,,,,
price breakdowns,pb5a*,price breakdowns,PLUMBING (notes),Y,,,,,,*PAYABLE DIRECT TO THE PLUMBER* ,,,,
price breakdowns,pb6*,price breakdowns,SKYLIGHTS,N,,,,,,SKYLIGHTS,,,,
price breakdowns,pb6a*,price breakdowns,Skylights (notes),N,,,,,,*PAYABLE DIRECT TO THE DOOR & GLAZING Co.*,,,,
price breakdowns,pb7*,price breakdowns,VELUX,Y,,,,,,VELUX,,,,
price breakdowns,pb7a*,price breakdowns,Velux (notes),Y,,,,,,*PAYABLE DIRECT TO THE FOREMAN.* ,,,,
price breakdowns,pb8*,price breakdowns,GLASS VALLEY,Y,,,,,,GLASS VALLEY,,,,
price breakdowns,pb8a*,price breakdowns,Glass Valley (notes),Y,,,,,,*PAYABLE DIRECT TO THE DOOR & GLAZING Co.*,,,,
price breakdowns,pb9*,price breakdowns,ALUMINIUM CAPPING,N,,,,,,ALUMINIUM CAPPING ,,,,
price breakdowns,pb9a*,price breakdowns,ALUMINIUM CAPPING (notes),N,,,,,,*PAYABLE DIRECT TO THE DOOR & GLAZING Co.* ,,,,
price breakdowns,pb10*,price breakdowns,SLIDING DOORS,Y,,,,,,SLIDING DOORS,,,,
price breakdowns,pb10a*,price breakdowns,SLIDING DOORS (notes),Y,,,,,,*PAYABLE DIRECT TO THE DOOR & GLAZING Co.* ,,,,
,dm5,dimension 5 ,sliding doors dimension,N,,,,0,,,,,,
,gv1,glass valley,"Glass Valley Option One (£3,300.00)",Y,"£3,300.00",1.00,"3,300.00",0,,,,"Glass Valley Option One  (£3,300.00)",,
,gv2,glass valley,"Glass Valley Option Two (£4,400.00)",N,"£4,400.00",1.00,"4,400.00",0,,,,"Glass Valley Option Two  (£4,400.00)",,
,gv3,glass valley,"Glass Valley Option Three (£5,500.00)",N,"£5,000.00",1.00,"5,000.00",0,,,,"Glass Valley Option Three (£5,000.00)",,
,saw1,Sash Windows,Hardwood sash windows - 1.2m x 1.8m ,N,"£3,220.00",1.00,"3,220.00",0,,,,Hardwood sash windows - 1.2m x 1.8m ,,
,saw2,Sash Windows,Hardwood sash windows - 2m x 1.8m ,N,"£5,415.00",1.00,"5,415.00",0,,,,Hardwood sash windows - 2m x 1.8m ,,
,ac1,Aluminum Capping,Aluminium Capping option 1 (£360.00),N,£360.00,1.00,360.00,0,,,,Aluminium Capping option 1 (£360.00),,
,ac2,Aluminum Capping,Aluminium Capping option 2 (£720.00) ,N,£720.00,1.00,720.00,0,,,,Aluminium Capping option 2 (£720.00),,
,ac3,Aluminum Capping,"Aluminium Capping option 3 (£1,080.00)",N,"£1,080.00",1.00,"1,080.00",0,,,,"Aluminium Capping option 3 (£1,080.00)",,
,img20,image ,Aluminium Capping (image1),N,,,,0,,https://drive.google.com/uc?export=view&id=1YFbjpuiJDUb3P6CbQctrdshOfaB6lBsi,,,,
,img21,image ,Aluminium Capping (image2),N,,,,0,,https://drive.google.com/uc?export=view&id=1K-GQLLoNRZY8pWJmHLyKbieBOQyiWrEA,,,,
,co1,Contingency ,USING NEIGHBOUR’S PARTY WALL,N,£100.00,1.00,100.00,0,,USING NEIGHBOUR’S PARTY WALL,,,,
,co1a,Contingency ,Using neighbours party wall (notes),N,,,,,,,,"If we are making use of an existing party wall, that has been constructed by your neighbour, the neighbour will be entitled to a contribution to the cost of constructing that wall. This is known as ‘enclosure costs’ and you will be responsible for paying it. The cost will be dependent on the size and construction of the wall you are making use of. The estimated enclosure cost is approx. £…",,
,co2,Contingency ,CONSTRUCT A NEW WALL (wall) ,N,£400.00,1.00,400.00,0,0.5,CONSTRUCT A NEW WALL,,,,
,co2a,,CONSTRUCT A NEW WALL (notes) ,N,,,,,,,,"Alternatively, should the neighbour’s existing wall be found to be inadequate to accommodate the new extension OR the neighbour doesn’t provide consent for you to use the wall. The additional cost to construct a new insulated block wall with necessary foundation will cost p/c £",,
,co3,Contingency ,CONSTRUCT A NEW WALL  (foundation),N,£550.00,1.00,550.00,0,0.5,CONSTRUCT A NEW WALL  (foundation),,,,
,co3a,Contingency ,CONSTRUCT A NEW WALL - FOUNDATION (notes),N,,,,,,,,"Alternatively, should the neighbour’s existing wall be found to be inadequate to accommodate the new extension OR the neighbour doesn’t provide consent for you to use the wall. The additional cost to construct a new insulated block wall with necessary foundation will cost p/c £",,
,co4,Contingency ,PARTY WALL AGREEMENT - SURVEYOR,Y,"£1,400.00",1.00,"1,400.00",0,,PARTY WALL AGREEMENT - SURVEYOR,,,,
,co4a,Contingency ,PARTY WALL AGREEMENT - SURVEYOR (notes),Y,,,,,,,,"Your neighbours are entitled to a party wall agreement. If required, you will need to appoint a surveyor to act on your behalf in relation to these matters. In this event you will be responsible for the fees of the surveyor/s. A typical cost for a surveyor to prepare a party wall agreement acting for yourselves AND your neighbours is p/c £1,440 inc. VAT.  Plus Rooms will arrange for party wall notices to be prepared. If your neighbours’ consent to these notices then you will not need to appoint a surveyor",,
,co5,Contingency ,Party Wall Notices - First Notice,Y,£180.00,1.00,180.00,0,,Party Wall Notices,,,,
,co5a,Contingency ,Party Wall Notices - First Notice (notes),Y,,,,,,,,The cost for the Party Wall Surveyor to provide notices for your project will be £180 for the first notice and £110 for every notice thereafter. This will be paid directly to the company at the same time as the PPP.  ,,
,co6,Contingency ,Party Wall Notices - Additional ,N,£110.00,1.00,110.00,0,,Party Wall Notices - Additional ,,,,
,co6a,Contingency ,Party Wall Notices - Additional  (notes),N,,,,,,,,,,
,co7,Contingency ,Rear Wall Drainage,Y,£850.00,1.00,850.00,0,,Rear Wall Drainage,,,,
,co7a,,Rear Wall Drainage (notes),Y,,,,,,,,,,
,co8,Contingency ,Party Wall Finish,Y,£180.00,1.00,180.00,0,0.5,Party Wall Finish,,,,
,co8a,Contingency ,Party Wall Finish (notes),Y,,,,,,,,If you agree with your neighbour to construct the new wall as a party wall and the party wall surveyor/s insist on the wall being terminated with a parapet and coping stone there will be an additional cost of £180 per metre.    ,,
,co9,Contingency ,Additional Fuse Board ,Y,£700.00,1.00,700.00,0,,Additional Fuse Board ,,,,
,co9a,Contingency ,Additional Fuse Board (notes),Y,,,,,,,,The electrician will assess the existing electrical set up in your property. Should an additional fuse board be required for the new circuits the additional cost will be p/c £700.   ,,
,co10,Contingency ,Wall paper removal ,Y,£500.00,1.00,500.00,0,,Wall paper removal ,,,,
,co10a,Contingency ,Wall paper removal (notes),Y,,,,,,,,Quote is based on plaster skimming onto a standard finished wall (i.e. not wall papered) in the original kitchen. Should there be one layer of wallpaper on the original walls the cost to remove/re-plaster board the original kitchen walls p/c £300 - £500.  ,,
,co11,Contingency ,Timber hoarding ,Y,"£1,500.00",1.00,"1,500.00",0,,Timber hoarding ,,,,
,co11a,Contingency ,TImber hoarding (notes),Y,,,,,,,,"Should the client delay placing the order for their glazing products & hoardings are required in order for finishing works to progress - additional cost to supply and install a timber hoarding is. p/c £750 – £1,500. ",,
,co12,Contingency ,Replacing the existing floor ,Y,£385.00,1.00,385.00,0,3,Replacing the existing floor ,,,,
,co12a,Contingency ,Replacing the existing floor (notes),Y,,,,,,,, If the quote has not specified to replace the existing floor and should the existing floor joists need replacing due to rotting etc the cost to remove the existing joists and lay a concrete insulated floor with damp membrane (compliant with Building Regulations) would be p/c £385 per m2.  ,,
,co13,Contingency ,Existing floor structure,Y,"£1,000.00",1.00,"1,000.00",0,,Existing floor structure,,,,
,co13a,Contingency ,Existing floor structure (notes),Y,,,,,,,,"The quote assumes that the original part of the house has wooden joists. Should the existing floors be concrete then additional costs may be incurred due the additional labour required to create pad foundations (for steels) and insert plumbed pipes i.e. wastes etc. p/c £1,000  ",,
,co14,Contingency ,Floor levelling ,Y,£120.00,1.00,120.00,0,3,Floor levelling ,,,,
,co14a,Contingency ,Floor levelling (notes),Y,,,,,,,,"The new extension floor will be completely level, if additional requirements needed to ensure existing floor is level this can be priced directly by finishing’s team. p/c £120 per m2.  ",,
,co14b,Contingency ,Floor levelling (guidance),Y,,,,,,,,,*PLEASE NOTE – THIS WILL NOT BE REQUIRED IF THE EXISTING FLOOR IS BEING UPLIFTED AND NEW CONCRETE IS BEING POURED*,
